Position Eligibility,Player,Team,Position,Points,Games,Avg
WR/FLEX,Albert Wilson,MIA,WR,17.7,7,2.5
WR/FLEX,Mohamed Sanu Sr.,SF,WR,17.7,8,2.2
WR/FLEX,Danny Amendola,HOU,WR,17.2,6,2.9
WR/FLEX,Malik Turner,DAL,WR,17.1,4,4.3
WR/FLEX,Jody Fortson,KC,WR,16.7,4,4.2
WR/FLEX,Marcus Johnson,TEN,WR,15.8,7,2.3
WR/FLEX,Isaiah Ford,MIA,WR,15.7,5,3.1
WR/FLEX,Dante Pettis,NYG,WR,15.3,3,5.1
WR/FLEX,Greg Ward,PHI,WR,15,6,2.5
WR/FLEX,Cam Sims,WAS,WR,14.8,6,2.5
WR/FLEX,Ray-Ray McCloud,PIT,WR,13.6,10,1.4
WR/FLEX,Terrace Marshall Jr.,CAR,WR,13.6,9,1.5
WR/FLEX,Anthony Schwartz,CLE,WR,12.9,10,1.3
WR/FLEX,Denzel Mims,NYJ,WR,12.9,5,2.6
WR/FLEX,T.Y. Hilton,IND,WR,12.7,4,3.2
WR/FLEX,Kenny Stills,NO,WR,12.5,5,2.5
WR/FLEX,Michael Gallup,DAL,WR,12.2,3,4.1
WR/FLEX,James Proche II,BAL,WR,11.8,5,2.4
WR/FLEX,N'Keal Harry,NE,WR,11.7,6,2
WR/FLEX,Noah Brown,DAL,WR,11.7,8,1.5
WR/FLEX,Antoine Wesley,ARI,WR,11.3,4,2.8
WR/FLEX,Cyril Grayson Jr.,TB,WR,11,1,11
WR/FLEX,Trent Sherfield,SF,WR,10.1,5,2
WR/FLEX,Chris Hogan,NO,WR,10.1,5,2
